"","DBH","height","ID"
"1",22.4,130,"NFI_2018_202"
"2",30.9,171,"NFI_2018_665"
"3",34.5,206,"NFI_2018_267"
"4",19,211,"NFI_2018_703"
"5",35.4,242,"NFI_2018_217"
"6",48.1,269,"NFI_2018_703"
"7",54.1,229,"NFI_2020_1"
"8",28.2,132,"NFI_2020_13"
"9",12.9,58,"NFI_2020_13"
"10",32.9,202,"NFI_2020_41"
"11",46.4,217,"NFI_2020_41"
"12",40.6,228,"NFI_2020_41"
"13",31.3,193,"NFI_2020_41"
"14",40.3,197,"NFI_2020_50"
"15",12.2,143,"NFI_2020_50"
"16",20.7,157,"NFI_2020_50"
"17",32.4,203,"NFI_2020_50"
"18",36.8,195,"NFI_2020_52"
"19",16.9,158,"NFI_2020_52"
"20",29.2,166,"NFI_2020_52"
"21",57.6,145,"NFI_2020_60"
"22",58.9,195,"NFI_2020_60"
"23",49.7,197,"NFI_2020_60"
"24",32.5,191,"NFI_2020_62"
"25",24.6,174,"NFI_2020_62"
"26",22.9,211,"NFI_2020_62"
"27",13.2,133,"NFI_2020_62"
"28",42.5,234,"NFI_2020_62"
"29",11.5,130,"NFI_2020_113"
"30",20.1,200,"NFI_2020_113"
"31",51.6,235,"NFI_2020_131"
"32",30.5,187,"NFI_2020_131"
"33",45,234,"NFI_2020_131"
"34",63.1,259,"NFI_2020_131"
"35",37.3,216,"NFI_2020_140"
"36",32.9,211,"NFI_2020_140"
"37",51,257,"NFI_2020_159"
"38",17.1,129,"NFI_2020_214"
"39",10.8,68,"NFI_2020_218"
"40",15.4,151,"NFI_2020_233"
"41",13.7,146,"NFI_2020_233"
"42",11.2,113,"NFI_2020_248"
"43",33.4,200,"NFI_2020_271"
"44",30.5,222,"NFI_2020_310"
"45",20.1,164,"NFI_2020_340"
"46",20.8,176,"NFI_2020_340"
"47",30.4,191,"NFI_2020_392"
"48",21.8,105,"NFI_2020_433"
"49",66.4,138,"NFI_2020_433"
"50",15.1,111,"NFI_2020_459"
"51",34.2,215,"NFI_2020_762"
"52",13.6,122,"NFI_2020_836"
"53",53.8,279,"NFI_2020_836"
"54",14.1,116,"NFI_2020_836"
"55",21.2,121,"NFI_2021_75"
"56",41.8,256,"NFI_2021_28"
"57",40.3,317,"NFI_2021_1141"
"58",22.7,230,"NFI_2021_1141"
"59",50.8,255,"NFI_2021_1141"
"60",56.5,225,"NFI_2021_827"
"61",57.5,228,"NFI_2021_827"
"62",17.1,180,"NFI_2021_895"
"63",22.8,154,"NFI_2021_629"
"64",31.9,175,"NFI_2021_808"
"65",30.9,210,"NFI_2021_808"
"66",67.6,264,"NFI_2021_789"
"67",14.3,110,"NFI_2021_686"
"68",26.7,200,"NFI_2021_787"
"69",31.1,174,"NFI_2021_787"
"70",25.6,196,"NFI_2021_787"
"71",60.9,233,"NFI_2021_865"
"72",42.4,134,"NFI_2022_21"
"73",43.1,230,"NFI_2022_40"
"74",35.8,214,"NFI_2022_76"
"75",34.6,196,"NFI_2022_145"
"76",25,152,"NFI_2022_145"
"77",16.3,169,"NFI_2022_145"
"78",33.7,234,"NFI_2022_145"
"79",28.2,160,"NFI_2022_145"
"80",36.1,158,"NFI_2022_423"
"81",41.1,179,"NFI_2022_423"
"82",11.6,138,"NFI_2022_423"
"83",34.1,163,"NFI_2022_423"
"84",16.5,120,"NFI_2022_633"
"85",10.5,110,"NFI_2022_633"
"86",11,103,"NFI_2022_633"
"87",16.4,94,"NFI_2022_633"
"88",10.5,106,"NFI_2022_633"
"89",37.9,231,"NFI_2022_614"
"90",43,224,"NFI_2022_614"
"91",37.8,291,"NFI_2022_473"
"92",26.5,156,"NFI_2022_270"
"93",71.6,198,"NFI_2022_712"
"94",42.4,NA,"NFI_2022_21"
"95",53.6,NA,"NFI_2022_66"
"96",15.5,NA,"NFI_2022_89"
"97",14.1,NA,"NFI_2022_40"
"98",43.1,NA,"NFI_2022_40"
"99",38.6,NA,"NFI_2022_40"
"100",33.6,NA,"NFI_2022_40"
"101",18.7,NA,"NFI_2022_40"
"102",10.7,NA,"NFI_2022_40"
"103",35.8,NA,"NFI_2022_76"
"104",32.9,NA,"NFI_2022_76"
"105",33.5,NA,"NFI_2022_76"
"106",34.6,NA,"NFI_2022_145"
"107",25,NA,"NFI_2022_145"
"108",16.3,NA,"NFI_2022_145"
"109",33.7,NA,"NFI_2022_145"
"110",28.2,NA,"NFI_2022_145"
"111",38.5,NA,"NFI_2022_145"
"112",30.3,NA,"NFI_2022_145"
"113",39.2,NA,"NFI_2022_145"
"114",35.3,NA,"NFI_2022_145"
"115",36.1,NA,"NFI_2022_423"
"116",41.1,NA,"NFI_2022_423"
"117",11.6,NA,"NFI_2022_423"
"118",34.1,NA,"NFI_2022_423"
"119",16.5,NA,"NFI_2022_633"
"120",10.5,NA,"NFI_2022_633"
"121",11,NA,"NFI_2022_633"
"122",16.4,NA,"NFI_2022_633"
"123",10.5,NA,"NFI_2022_633"
"124",32.1,NA,"NFI_2022_614"
"125",37.9,NA,"NFI_2022_614"
"126",43,NA,"NFI_2022_614"
"127",37.8,NA,"NFI_2022_473"
"128",26.5,NA,"NFI_2022_270"
"129",31.4,NA,"NFI_2022_1230"
"130",11.8,NA,"NFI_2022_904"
"131",11.5,NA,"NFI_2022_728"
"132",10.1,NA,"NFI_2022_712"
"133",71.6,NA,"NFI_2022_712"
